id,x,y
0,122.92124939,639.895576477
1,305.543273926,59.772277832
2,359.86050415,66.1276855469
3,373.763336182,110.21484375
4,370.219055176,174.230957031
5,372.137298584,233.83706665
6,367.442993164,261.976593018
7,362.720703125,302.949890137
8,354.961029053,366.277862549
9,351.911560059,418.217834473
10,348.025482178,496.431716919
11,114.812477112,369.286651611
12,345.167266846,526.968475342
13,342.547058105,552.765197754
14,369.503936768,629.916412354
15,464.581573486,638.978172302
16,544.079650879,635.063240051
17,542.579345703,595.258804321
18,546.559387207,508.399398804
19,544.164733887,434.812683105
20,545.765869141,348.473114014
21,568.997070312,264.718200684
22,96.7884292603,487.826431274
23,201.581344604,253.71194458
24,534.135437012,203.164794922
25,598.08001709,208.704162598
26,773.860656738,-32.5122680664
27,831.483581543,-15.1850585938
28,827.400817871,51.4713745117
29,825.391784668,113.882873535
30,823.883300781,165.940368652
31,822.358398438,207.608154297
32,816.510498047,263.78616333
33,217.534667969,363.759674072
34,812.32989502,292.371368408
35,807.336425781,313.813079834
36,791.813110352,346.279083252
37,789.127929688,369.741271973
38,779.603271484,413.187133789
39,773.264099121,460.38760376
40,765.302001953,488.583435059
41,785.137023926,532.533477783
42,783.081787109,577.919967651
43,292.224761963,101.85559082
44,112.361701965,361.093902588
45,809.008850098,706.681147575
46,795.012084961,698.255319595
47,762.654968262,661.442977905
48,723.14440918,610.999038696
49,683.062744141,581.428695679
50,628.45916748,547.890258789
51,590.773986816,518.768753052
52,557.885559082,485.716018677
53,504.037567139,416.658569336
54,444.557922363,365.446105957
55,115.598892212,285.454315186
56,211.21685791,576.865463257
57,403.732421875,335.272155762
58,347.648834229,297.903747559
59,295.396514893,235.367889404
60,199.754501343,154.723022461
61,147.133544922,148.680175781
62,77.4993896484,130.992431641
63,43.2193908691,208.043914795
64,45.0193824768,255.90625
65,530.970092773,16.1433105469
66,152.327774048,223.184326172
67,261.479705811,550.351882935
68,268.457183838,381.263916016
69,54.6952362061,158.202148438
70,245.989440918,613.316925049
71,290.5965271,569.735946655
72,352.771606445,523.827987671
73,411.301757812,473.373291016
74,429.162689209,444.528961182
75,479.775756836,396.032928467
76,151.80078125,487.519973755
77,147.646148682,124.019226074
78,517.927307129,355.706542969
79,567.795288086,296.781982422
80,619.972961426,233.592468262
81,682.911499023,171.507629395
82,749.659545898,56.826171875
83,267.737976074,55.6388549805
84,150.250015259,56.6695556641
