id,x,y
10,53.7499008179,500.521240234
11,6.74771261215,501.680175781
12,17.5308494568,436.964355469
13,40.9169654846,450.462890625
14,89.7169494629,469.706542969
15,107.242027283,458.705810547
16,194.086868286,483.058349609
17,281.48336792,519.223876953
18,367.762481689,565.790893555
19,440.665863037,604.794799805
20,482.78994751,627.122558594
21,527.195800781,623.446533203
22,597.930664062,574.603271484
23,693.378601074,536.580078125
24,796.352722168,529.854492188
25,858.229553223,532.305908203
26,914.054626465,526.094238281
27,983.572937012,519.127685547
28,1007.00512695,536.526855469
29,1081.73522949,539.05859375
30,1219.46105957,544.987304688
31,1269.79199219,532.056640625
32,1318.68225098,517.009033203
33,1327.05334473,516.854980469
34,1355.11975098,543.147705078
35,1429.67333984,573.283935547
36,1549.28210449,548.666503906
37,1640.58691406,552.803222656
38,1694.85852051,518.907714844
39,1784.51379395,517.512451172
40,1329.82226562,807.311645508
41,1859.00646973,514.531494141
42,542.182495117,284.122802734
43,900.500854492,312.614501953
44,938.516052246,662.018188477
45,1342.8404541,813.552001953
46,1312.18457031,833.352661133
47,906.245239258,1823.7411499
48,935.094543457,1701.52679443
49,1219.62390137,490.621582031
50,2745.45776367,1469.62182617
51,662.969604492,1644.25628662
52,1109.19482422,646.846679688
53,1656.44604492,909.791381836
54,341.472747803,1103.8527832
55,828.200256348,1153.27270508
56,869.66015625,-6.41088867188
57,-444.962310791,3863.06018066
58,2235.47412109,1369.75073242
59,2271.34912109,1394.31262207
60,2271.4074707,1471.0222168
61,2266.64648438,1525.44250488
62,2258.94897461,1603.83850098
63,2247.09472656,1694.56555176
64,2253.03417969,1764.80413818
65,2247.79418945,1801.28338623
66,2257.34057617,1859.58422852
67,2270.421875,1925.00549316
68,2275.8684082,1993.34326172
69,2287.28979492,2049.25982666
70,2325.97265625,2103.27633667
71,2330.97167969,2169.76815796
72,2357.86303711,2226.27755737
73,2270.92431641,2263.12783813
74,2317.78833008,2348.9932251
75,2326.22192383,2111.69668579
76,2326.22192383,2111.69668579
77,1509.64099121,1393.51037598
78,2187.63012695,2229.78271484
79,2123.99536133,2207.22073364
80,2033.17883301,2189.2723999
81,1937.08312988,2217.13290405
82,1847.89135742,2251.15536499
83,1779.3482666,2267.54107666
84,1717.46325684,2270.64419556
85,1667.81140137,2267.69885254
86,1573.88781738,2260.68154907
87,1501.86230469,2256.08230591
88,1407.83935547,2245.58389282
89,1319.10327148,2249.43432617
90,1267.12438965,2241.01443481
91,1220.6776123,2213.34420776
92,943.22644043,2227.09729004
93,882.140319824,2224.84509277
94,806.285888672,2234.94586182
95,755.407287598,2230.71826172
96,690.842468262,2216.58203125
97,2799.42529297,1504.57348633
98,581.535400391,2244.28115845
99,529.252319336,1009.71032715
100,520.744018555,2239.98867798
101,30.9866123199,1278.34887695
102,327.353759766,1100.01074219
103,28.0500068665,1279.5802002
104,386.395324707,948.161376953
105,312.786712646,1356.60424805
106,75.4348678589,963.101806641
107,147.505599976,933.465698242
108,305.006591797,1086.25720215
109,286.980621338,2220.00292969
110,301.749328613,2223.92523193
111,2732.02978516,1257.86938477
112,357.130371094,2243.47720337
113,356.167236328,2241.75137329
114,369.769500732,2216.09259033
115,388.355102539,2160.42965698
116,405.497833252,2085.96472168
117,408.269287109,1997.56445312
118,418.961334229,1898.98236084
119,430.541442871,1835.42163086
120,434.980133057,1773.80303955
121,434.11618042,1694.91186523
122,432.44934082,1599.51019287
123,425.182159424,1519.03076172
124,411.475463867,1482.55786133
125,468.577301025,1376.03588867
126,398.835571289,1224.83239746
127,392.208526611,1135.1887207
128,393.297332764,1068.05615234
129,391.929626465,989.465087891
130,381.928039551,910.34765625
131,369.653747559,833.685302734
132,364.416442871,767.013793945
133,345.782043457,711.000244141
134,334.506317139,655.043457031
135,330.494567871,608.584716797
136,322.739685059,549.585205078
137,317.281311035,471.013916016
138,318.79776001,412.481201172
139,319.821990967,364.880615234
140,304.387237549,318.980712891
141,284.546051025,275.719482422
142,253.057739258,365.525146484
143,1197.1932373,1298.26452637
144,489.40838623,1288.92651367
145,340.715423584,1248.95031738
146,1341.13891602,756.08996582
147,1354.91113281,1145.91247559
148,341.780883789,1258.37121582
149,502.121368408,355.093505859
150,1153.69519043,1094.84936523
151,31.3663578033,1279.24645996
152,1085.60009766,836.600097656
153,368.150299072,175.360839844
